transaction_id,amount,hour,is_foreign,is_new_device,transactions_today,account_age_days,is_fraud
1,1313,0,1,1,18,1,1
2,465,14,0,0,4,637,0
3,279,14,0,0,1,2705,0
4,490,10,0,0,3,1340,0
5,30,9,0,0,1,2716,0
6,4089,3,1,1,19,11,1
7,460,21,0,0,1,703,0
8,383,11,0,0,4,820,0
9,204,14,0,0,1,1370,0
10,135,16,0,0,3,1564,0
11,177,9,0,0,3,2473,0
12,280,21,0,1,4,1852,0
13,60,12,0,0,3,1990,0
14,176,12,0,0,1,829,0
15,465,21,0,0,1,158,0
16,140,21,0,0,1,1081,0
17,273,9,0,0,2,59,0
18,405,12,0,0,3,1741,0
19,226,16,0,0,4,2283,0
20,167,13,0,0,2,2957,0
21,431,14,0,1,3,419,0
22,382,8,1,0,1,2477,0
23,161,13,0,0,2,413,0
24,487,15,0,0,1,2688,0
25,199,15,0,1,1,1745,0
26,352,12,0,0,2,221,0
27,405,21,0,0,3,192,0
28,320,10,0,1,3,1417,0
29,149,17,0,0,4,619,0
30,131,15,0,0,2,1857,0
31,411,13,0,1,2,1515,0
32,222,10,0,0,4,1825,0
33,339,18,0,0,3,2393,0
34,403,9,0,0,3,2259,0
35,18,20,0,0,4,2443,0
36,138,11,0,0,2,494,0
37,60,15,0,0,3,837,0
38,395,8,0,0,3,138,0
39,412,14,0,0,4,2034,0
40,255,8,0,0,4,2518,0
41,1769,1,0,1,12,29,1
42,224,15,0,0,4,2548,0
43,4014,5,1,1,12,24,1
44,394,10,0,0,3,195,0
45,229,14,0,1,4,1931,0
46,160,19,0,0,1,51,0
47,11,12,0,0,1,686,0
48,353,8,0,0,1,1290,0
49,473,21,0,0,1,856,0
50,327,21,1,0,4,699,0
51,496,13,0,0,2,837,0
52,4067,1,1,1,19,13,1
53,217,15,0,0,1,1806,0
54,484,19,0,1,1,1904,0
55,2670,2,1,1,13,4,1
56,137,15,0,0,3,581,0
57,186,18,0,1,3,749,0
58,1842,4,1,1,13,14,1
59,1005,1,0,1,18,29,1
60,122,16,0,0,3,1983,0
61,106,20,0,0,1,920,0
62,416,8,0,0,3,256,0
63,179,11,1,0,3,566,0
64,11,19,0,0,2,42,0
65,440,20,0,0,2,1059,0
66,394,11,0,0,2,2069,0
67,64,21,0,0,4,795,0
68,457,18,0,1,4,1247,0
69,179,19,0,0,1,1501,0
70,440,18,0,1,1,1441,0
71,239,11,0,0,3,1804,0
72,72,9,0,0,3,2940,0
73,866,4,0,1,17,5,1
74,140,10,0,0,3,1649,0
75,440,12,0,0,2,185,0
76,292,20,1,0,4,761,0
77,470,10,0,0,4,2329,0
78,316,13,0,0,1,2465,0
79,201,19,1,0,2,2129,0
80,100,13,0,0,3,965,0
81,4729,0,1,1,9,2,1
82,53,17,0,0,3,1335,0
83,424,10,0,0,1,814,0
84,246,18,0,0,2,2726,0
85,189,17,1,0,2,2580,0
86,1143,5,1,1,17,18,1
87,2225,1,1,1,15,12,1
