transaction_id,amount,hour,is_foreign,is_new_device,transactions_today,account_age_days,is_fraud,risk_score,risk_level,anomaly,anomaly_label
1,1313,0,1,1,18,1,1,100.0,High Risk,-1,Anomaly
2,465,14,0,0,4,637,0,0.0,Low Risk,1,Normal
3,279,14,0,0,1,2705,0,0.0,Low Risk,1,Normal
4,490,10,0,0,3,1340,0,0.0,Low Risk,1,Normal
5,30,9,0,0,1,2716,0,0.0,Low Risk,1,Normal
6,4089,3,1,1,19,11,1,100.0,High Risk,-1,Anomaly
7,460,21,0,0,1,703,0,0.0,Low Risk,1,Normal
8,383,11,0,0,4,820,0,0.0,Low Risk,1,Normal
9,204,14,0,0,1,1370,0,0.0,Low Risk,1,Normal
10,135,16,0,0,3,1564,0,0.0,Low Risk,1,Normal
11,177,9,0,0,3,2473,0,0.0,Low Risk,1,Normal
12,280,21,0,1,4,1852,0,0.0,Low Risk,1,Normal
13,60,12,0,0,3,1990,0,0.0,Low Risk,1,Normal
14,176,12,0,0,1,829,0,0.0,Low Risk,1,Normal
15,465,21,0,0,1,158,0,0.0,Low Risk,1,Normal
16,140,21,0,0,1,1081,0,0.0,Low Risk,1,Normal
17,273,9,0,0,2,59,0,0.0,Low Risk,1,Normal
18,405,12,0,0,3,1741,0,0.0,Low Risk,1,Normal
19,226,16,0,0,4,2283,0,0.0,Low Risk,1,Normal
20,167,13,0,0,2,2957,0,0.0,Low Risk,1,Normal
21,431,14,0,1,3,419,0,0.0,Low Risk,1,Normal
22,382,8,1,0,1,2477,0,0.0,Low Risk,-1,Anomaly
23,161,13,0,0,2,413,0,0.0,Low Risk,1,Normal
24,487,15,0,0,1,2688,0,0.0,Low Risk,1,Normal
25,199,15,0,1,1,1745,0,0.0,Low Risk,1,Normal
26,352,12,0,0,2,221,0,0.0,Low Risk,1,Normal
27,405,21,0,0,3,192,0,0.0,Low Risk,1,Normal
28,320,10,0,1,3,1417,0,0.0,Low Risk,1,Normal
29,149,17,0,0,4,619,0,0.0,Low Risk,1,Normal
30,131,15,0,0,2,1857,0,0.0,Low Risk,1,Normal
31,411,13,0,1,2,1515,0,0.0,Low Risk,1,Normal
32,222,10,0,0,4,1825,0,0.0,Low Risk,1,Normal
33,339,18,0,0,3,2393,0,0.0,Low Risk,1,Normal
34,403,9,0,0,3,2259,0,0.0,Low Risk,1,Normal
35,18,20,0,0,4,2443,0,0.0,Low Risk,1,Normal
36,138,11,0,0,2,494,0,0.0,Low Risk,1,Normal
37,60,15,0,0,3,837,0,0.0,Low Risk,1,Normal
38,395,8,0,0,3,138,0,0.0,Low Risk,1,Normal
39,412,14,0,0,4,2034,0,0.0,Low Risk,1,Normal
40,255,8,0,0,4,2518,0,0.0,Low Risk,1,Normal
41,1769,1,0,1,12,29,1,100.0,High Risk,-1,Anomaly
42,224,15,0,0,4,2548,0,0.0,Low Risk,1,Normal
43,4014,5,1,1,12,24,1,100.0,High Risk,1,Normal
44,394,10,0,0,3,195,0,0.0,Low Risk,1,Normal
45,229,14,0,1,4,1931,0,0.0,Low Risk,1,Normal
46,160,19,0,0,1,51,0,0.0,Low Risk,1,Normal
47,11,12,0,0,1,686,0,0.0,Low Risk,1,Normal
48,353,8,0,0,1,1290,0,0.0,Low Risk,1,Normal
49,473,21,0,0,1,856,0,0.0,Low Risk,1,Normal
50,327,21,1,0,4,699,0,0.0,Low Risk,-1,Anomaly
51,496,13,0,0,2,837,0,0.0,Low Risk,1,Normal
52,4067,1,1,1,19,13,1,100.0,High Risk,-1,Anomaly
53,217,15,0,0,1,1806,0,0.0,Low Risk,1,Normal
54,484,19,0,1,1,1904,0,0.0,Low Risk,-1,Anomaly
55,2670,2,1,1,13,4,1,100.0,High Risk,1,Normal
56,137,15,0,0,3,581,0,0.0,Low Risk,1,Normal
57,186,18,0,1,3,749,0,0.0,Low Risk,1,Normal
58,1842,4,1,1,13,14,1,100.0,High Risk,1,Normal
59,1005,1,0,1,18,29,1,100.0,High Risk,-1,Anomaly
60,122,16,0,0,3,1983,0,0.0,Low Risk,1,Normal
61,106,20,0,0,1,920,0,0.0,Low Risk,1,Normal
62,416,8,0,0,3,256,0,0.0,Low Risk,1,Normal
63,179,11,1,0,3,566,0,0.0,Low Risk,1,Normal
64,11,19,0,0,2,42,0,0.0,Low Risk,1,Normal
65,440,20,0,0,2,1059,0,0.0,Low Risk,1,Normal
66,394,11,0,0,2,2069,0,0.0,Low Risk,1,Normal
67,64,21,0,0,4,795,0,0.0,Low Risk,1,Normal
68,457,18,0,1,4,1247,0,0.0,Low Risk,1,Normal
69,179,19,0,0,1,1501,0,0.0,Low Risk,1,Normal
70,440,18,0,1,1,1441,0,0.0,Low Risk,1,Normal
71,239,11,0,0,3,1804,0,0.0,Low Risk,1,Normal
72,72,9,0,0,3,2940,0,0.0,Low Risk,1,Normal
73,866,4,0,1,17,5,1,100.0,High Risk,-1,Anomaly
74,140,10,0,0,3,1649,0,0.0,Low Risk,1,Normal
75,440,12,0,0,2,185,0,0.0,Low Risk,1,Normal
76,292,20,1,0,4,761,0,0.0,Low Risk,1,Normal
77,470,10,0,0,4,2329,0,0.0,Low Risk,1,Normal
78,316,13,0,0,1,2465,0,0.0,Low Risk,1,Normal
79,201,19,1,0,2,2129,0,0.0,Low Risk,1,Normal
80,100,13,0,0,3,965,0,0.0,Low Risk,1,Normal
81,4729,0,1,1,9,2,1,100.0,High Risk,-1,Anomaly
82,53,17,0,0,3,1335,0,0.0,Low Risk,1,Normal
83,424,10,0,0,1,814,0,0.0,Low Risk,1,Normal
84,246,18,0,0,2,2726,0,0.0,Low Risk,1,Normal
85,189,17,1,0,2,2580,0,0.0,Low Risk,1,Normal
86,1143,5,1,1,17,18,1,100.0,High Risk,1,Normal
87,2225,1,1,1,15,12,1,100.0,High Risk,1,Normal
88,264,14,0,0,1,2135,0,0.0,Low Risk,1,Normal
89,2618,3,1,1,8,29,1,100.0,High Risk,-1,Anomaly
90,456,20,0,0,1,2874,0,0.0,Low Risk,1,Normal
91,418,16,0,0,4,2328,0,0.0,Low Risk,1,Normal
92,358,20,0,0,4,452,0,0.0,Low Risk,1,Normal
93,181,8,0,0,2,2082,0,0.0,Low Risk,1,Normal
94,113,9,0,1,3,739,0,0.0,Low Risk,1,Normal
95,4925,1,1,1,19,18,1,100.0,High Risk,-1,Anomaly
96,267,14,0,0,3,2212,0,0.0,Low Risk,1,Normal
97,224,10,0,1,2,2716,0,0.0,Low Risk,1,Normal
98,10,11,0,0,4,887,0,0.0,Low Risk,1,Normal
99,333,12,0,0,4,472,0,0.0,Low Risk,1,Normal
100,50,19,0,0,2,1534,0,0.0,Low Risk,1,Normal
101,328,10,0,0,1,2360,0,0.0,Low Risk,1,Normal
102,428,18,0,0,1,762,0,0.0,Low Risk,1,Normal
103,45,12,0,0,1,473,0,0.0,Low Risk,1,Normal
104,90,17,0,0,4,916,0,0.0,Low Risk,1,Normal
105,126,9,0,0,3,37,0,0.0,Low Risk,1,Normal
106,161,18,1,0,2,874,0,0.0,Low Risk,1,Normal
107,2154,1,1,1,9,13,1,100.0,High Risk,1,Normal
108,424,8,0,1,3,2065,0,0.0,Low Risk,1,Normal
109,3761,3,1,1,10,13,1,100.0,High Risk,1,Normal
110,187,20,1,0,3,1422,0,0.0,Low Risk,1,Normal
111,63,10,0,0,1,2752,0,0.0,Low Risk,1,Normal
112,312,14,0,0,2,2289,0,0.0,Low Risk,1,Normal
113,71,10,0,0,2,1424,0,0.0,Low Risk,1,Normal
114,107,9,0,0,3,714,0,0.0,Low Risk,1,Normal
115,85,15,0,0,3,93,0,0.0,Low Risk,1,Normal
116,4122,1,1,1,13,8,1,100.0,High Risk,1,Normal
117,174,21,0,0,2,178,0,0.0,Low Risk,1,Normal
118,302,11,0,0,2,2933,0,0.0,Low Risk,1,Normal
119,378,19,0,1,1,450,0,0.0,Low Risk,1,Normal
120,397,16,0,0,3,239,0,0.0,Low Risk,1,Normal
121,297,18,0,0,3,404,0,0.0,Low Risk,1,Normal
122,56,14,0,0,2,2188,0,0.0,Low Risk,1,Normal
123,4090,2,1,1,19,8,1,100.0,High Risk,-1,Anomaly
124,2064,2,1,1,8,27,1,100.0,High Risk,1,Normal
125,137,21,0,0,2,174,0,0.0,Low Risk,1,Normal
126,2976,4,1,1,18,11,1,100.0,High Risk,1,Normal
127,208,19,0,0,3,2934,0,0.0,Low Risk,1,Normal
128,354,13,0,0,4,1720,0,0.0,Low Risk,1,Normal
129,53,14,0,0,4,173,0,0.0,Low Risk,1,Normal
130,229,10,0,0,2,2995,0,0.0,Low Risk,1,Normal
131,139,10,0,0,4,2803,0,0.0,Low Risk,1,Normal
132,2813,1,1,1,14,12,1,100.0,High Risk,1,Normal
133,153,9,0,0,1,2794,0,0.0,Low Risk,1,Normal
134,130,12,1,0,2,2929,0,0.0,Low Risk,-1,Anomaly
135,2930,3,0,1,15,27,1,100.0,High Risk,-1,Anomaly
136,163,14,0,0,4,2242,0,0.0,Low Risk,1,Normal
137,48,12,0,1,3,2611,0,0.0,Low Risk,1,Normal
138,27,17,0,1,4,637,0,0.0,Low Risk,1,Normal
139,478,19,0,0,4,2697,0,0.0,Low Risk,1,Normal
140,417,21,0,0,4,2743,0,0.0,Low Risk,1,Normal
141,1935,0,1,1,19,5,1,100.0,High Risk,-1,Anomaly
142,95,13,0,1,3,2358,0,0.0,Low Risk,1,Normal
143,203,15,0,1,3,585,0,0.0,Low Risk,1,Normal
144,462,15,1,0,3,500,0,0.0,Low Risk,1,Normal
145,242,10,0,0,4,89,0,0.0,Low Risk,1,Normal
146,331,19,1,1,4,635,0,0.0,Low Risk,-1,Anomaly
147,323,14,0,0,4,2608,0,0.0,Low Risk,1,Normal
148,25,18,0,1,3,1863,0,0.0,Low Risk,1,Normal
149,67,8,0,0,4,405,0,0.0,Low Risk,1,Normal
150,232,17,0,0,3,1255,0,0.0,Low Risk,1,Normal
151,764,0,1,1,17,9,1,100.0,High Risk,1,Normal
152,473,12,0,0,2,2970,0,0.0,Low Risk,1,Normal
153,366,8,0,0,1,685,0,0.0,Low Risk,1,Normal
154,75,9,0,0,2,2826,0,0.0,Low Risk,1,Normal
155,145,14,0,0,3,971,0,0.0,Low Risk,1,Normal
156,286,20,0,0,3,1441,0,0.0,Low Risk,1,Normal
157,317,19,1,0,4,1641,0,0.0,Low Risk,1,Normal
158,451,11,0,1,2,2866,0,0.0,Low Risk,1,Normal
159,2402,0,0,1,15,21,1,100.0,High Risk,-1,Anomaly
160,404,17,0,0,3,873,0,0.0,Low Risk,1,Normal
161,904,0,0,0,16,3,1,100.0,High Risk,-1,Anomaly
162,382,14,0,0,4,440,0,0.0,Low Risk,1,Normal
163,4336,3,1,1,9,21,1,100.0,High Risk,1,Normal
164,90,9,0,0,2,120,0,0.0,Low Risk,1,Normal
165,425,21,0,1,3,2626,0,0.0,Low Risk,-1,Anomaly
166,83,20,0,0,3,1453,0,0.0,Low Risk,1,Normal
167,53,18,0,0,3,2738,0,0.0,Low Risk,1,Normal
168,182,18,0,0,4,2786,0,0.0,Low Risk,1,Normal
169,183,10,0,0,4,2044,0,0.0,Low Risk,1,Normal
170,469,17,0,1,3,2324,0,0.0,Low Risk,1,Normal
171,28,18,0,1,3,551,0,0.0,Low Risk,1,Normal
172,406,8,0,0,4,1474,0,0.0,Low Risk,1,Normal
173,452,15,0,0,3,644,0,0.0,Low Risk,1,Normal
174,264,10,0,0,3,1567,0,0.0,Low Risk,1,Normal
175,180,16,0,0,2,2447,0,0.0,Low Risk,1,Normal
176,14,13,0,0,4,270,0,0.0,Low Risk,1,Normal
177,402,18,0,0,3,1281,0,0.0,Low Risk,1,Normal
178,2214,5,0,1,11,17,1,100.0,High Risk,-1,Anomaly
179,63,15,0,0,2,527,0,0.0,Low Risk,1,Normal
180,478,15,0,0,3,1781,0,0.0,Low Risk,1,Normal
181,286,11,1,0,2,2567,0,0.0,Low Risk,-1,Anomaly
182,203,13,0,0,2,1609,0,0.0,Low Risk,1,Normal
183,293,20,0,0,2,2731,0,0.0,Low Risk,1,Normal
184,4557,5,0,0,13,4,1,100.0,High Risk,-1,Anomaly
185,132,20,0,0,1,1624,0,0.0,Low Risk,1,Normal
186,15,15,0,0,1,2695,0,0.0,Low Risk,1,Normal
187,395,21,0,0,2,755,0,0.0,Low Risk,1,Normal
188,330,8,0,1,3,2932,0,0.0,Low Risk,-1,Anomaly
189,273,15,0,0,2,1773,0,0.0,Low Risk,1,Normal
190,48,15,0,0,2,1568,0,0.0,Low Risk,1,Normal
191,431,12,0,0,3,585,0,0.0,Low Risk,1,Normal
192,52,21,0,1,3,1917,0,0.0,Low Risk,-1,Anomaly
193,476,17,1,0,4,2073,0,0.0,Low Risk,-1,Anomaly
194,373,8,0,1,2,1163,0,0.0,Low Risk,1,Normal
195,311,15,0,1,4,2649,0,0.0,Low Risk,1,Normal
196,152,19,0,0,3,501,0,0.0,Low Risk,1,Normal
197,338,13,0,0,3,305,0,0.0,Low Risk,1,Normal
198,23,14,0,0,3,1096,0,0.0,Low Risk,1,Normal
199,320,18,0,0,1,2435,0,0.0,Low Risk,1,Normal
200,229,20,0,0,3,901,0,0.0,Low Risk,1,Normal
201,155,15,0,0,3,224,0,0.0,Low Risk,1,Normal
202,152,15,0,0,4,2288,0,0.0,Low Risk,1,Normal
203,232,10,0,0,3,1903,0,0.0,Low Risk,1,Normal
204,262,10,0,0,3,749,0,0.0,Low Risk,1,Normal
205,182,10,0,0,1,2265,0,0.0,Low Risk,1,Normal
206,295,12,0,1,3,181,0,0.0,Low Risk,1,Normal
207,493,8,0,0,4,703,0,0.0,Low Risk,1,Normal
208,99,11,0,1,2,1234,0,0.0,Low Risk,1,Normal
209,124,17,0,0,2,2788,0,0.0,Low Risk,1,Normal
210,1389,1,1,1,8,3,1,100.0,High Risk,1,Normal
211,1349,1,1,1,17,15,1,100.0,High Risk,1,Normal
212,62,17,0,0,4,1181,0,0.0,Low Risk,1,Normal
